Unnamed: 0,Title,BillNumber,DocketNumber,GeneralCourtNumber,PrimarySponsor,Cosponsors,JointSponsor,BillHistory,LegislationTypeName,Pinslip,DocumentText,EmergencyPreamble,RollCalls,Attachments,CommitteeRecommendations,Amendments,List References
2299,An Act relative to collective bargaining rights for legislative employees,H3069,HD2435,193.0,"{'Id': 'PJK1', 'Name': 'Patrick Joseph Kearney', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PJK1', 'ResponseDate': '2023-01-18T15:43:43.263'}","[{'Id': 'PJK1', 'Name': 'Patrick Joseph Kearney', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PJK1', 'ResponseDate': '2023-01-18T15:43:43.2633333'}, {'Id': None, 'Name': 'Kevin J. Holland, IBEW Local 2222 AFL-CIO', 'Type': 3, 'Details': None, 'ResponseDate': '2023-01-18T15:43:43.28'}, {'Id': 'JCD1', 'Name': 'James C. Arena-DeRosa', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/JCD1', 'ResponseDate': '2023-05-02T17:19:25.89'}, {'Id': 'PLC1', 'Name': 'Peter Capano', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PLC1', 'ResponseDate': '2023-06-09T08:24:29.43'}, {'Id': 'M_C1', 'Name': 'Mike Connolly', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/M_C1', 'ResponseDate': '2023-05-15T16:18:16.67'}, {'Id': 'DFD1', 'Name': 'David F. DeCoste', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/DFD1', 'ResponseDate': '2023-03-29T13:10:33.2'}, {'Id': 'CAD1', 'Name': 'Carol A. Doherty', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CAD1', 'ResponseDate': '2023-09-05T15:39:30.46'}, {'Id': 'JBE0', 'Name': 'James B. Eldridge', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/JBE0', 'ResponseDate': '2023-02-19T14:50:04.5433333'}, {'Id': 'RME1', 'Name': 'Rodney M. Elliott', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/RME1', 'ResponseDate': '2023-03-03T13:45:24.1433333'}, {'Id': 'CRF1', 'Name': 'Christopher Richard Flanagan', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CRF1', 'ResponseDate': '2023-03-27T10:40:10.87'}, {'Id': 'CLG1', 'Name': 'Carmine Lawrence Gentile', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CLG1', 'ResponseDate': '2023-06-12T17:24:54.71'}, {'Id': 'RMH2', 'Name': 'Ryan M. Hamilton', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/RMH2', 'ResponseDate': '2023-06-13T16:17:01.7'}, {'Id': 'JKH1', 'Name': 'James K. Hawkins', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/JKH1', 'ResponseDate': '2023-03-29T17:11:07.1733333'}, {'Id': 'REH1', 'Name': 'Russell E. Holmes', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/REH1', 'ResponseDate': '2023-05-12T13:09:42.72'}, {'Id': 'DAL1', 'Name': 'David Henry Argosky LeBoeuf', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/DAL1', 'ResponseDate': '2023-01-30T15:16:32.5366667'}, {'Id': 'S_M1', 'Name': 'Samantha Montaño', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_M1', 'ResponseDate': '2023-01-24T11:20:32.8233333'}, {'Id': 'SCO1', 'Name': 'Steven Owens', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/SCO1', 'ResponseDate': '2023-09-23T17:45:35.12'}, {'Id': 'MRP0', 'Name': 'Marc R. Pacheco', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MRP0', 'ResponseDate': '2023-04-24T08:55:59.3433333'}, {'Id': 'RLR0', 'Name': 'Rebecca L. Rausch', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/RLR0', 'ResponseDate': '2023-01-20T20:15:47.59'}, {'Id': 'L_S1', 'Name': 'Lindsay N. Sabadosa', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/L_S1', 'ResponseDate': '2023-08-29T18:20:01.8433333'}, {'Id': 'MRS1', 'Name': 'Margaret R. Scarsdale', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MRS1', 'ResponseDate': '2023-05-08T09:41:07.0266667'}, {'Id': 'DAS1', 'Name': 'Danillo A. Sena', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/DAS1', 'ResponseDate': '2023-09-27T12:29:37.93'}, {'Id': 'AMS2', 'Name': 'Alyson M. Sullivan-Almeida', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/AMS2', 'ResponseDate': '2023-02-13T13:28:12.8933333'}, {'Id': 'E_U1', 'Name': 'Erika Uyterhoeven', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/E_U1', 'ResponseDate': '2023-02-22T09:22:17.2466667'}]",,http://malegislature.gov/api/GeneralCourts/193/Documents/H3069/DocumentHistoryActions,Bill,"By Representative Kearney of Scituate, a petition (accompanied by bill, House, No. 3069) of Patrick Joseph Kearney and others relative to allowing legislative employees to unionize.  State Administration and Regulatory Oversight.","	SECTION 1. Section 1 of Chapter 150E of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the word “executive”, in line 10, the following:- , legislative, 
	SECTION 2. Said section 1 of said chapter 150E, as so appearing, is hereby further amended by inserting after the definition of ""Legislative body"",  the following paragraphs:-
	""Legislative employees"", all employees of the general court, including, but not limited to, legislative personnel employees, employees of committees, caucuses, legislative information services, the house and senate business offices, the engrossing division, the house and senate clerk's offices, the house and senate counsel's offices and the house and senate human resources offices.
	""Legislative personal employees,"" general court employees whom the house speaker or senate president has approved for employment in the office of a particular senator or representative at the request of said senator or representative.
	SECTION 3.  Section 3 of said chapter 150E, as so appearing, is hereby amended by inserting after the third paragraph the following paragraphs:-
	Appropriate bargaining units in the senate may include all legislative employees; provided, however, that (1) in the case of legislative personal employees, legislative employees within the senate president's office, the senate minority leader's office, the office of the chair of the senate ways and means committee, the senate clerk's office, or senate counsel's office may be managerial or confidential employees that are excluded from the bargaining unit if said employees are managerial or confidential employees as defined in section 1; and (2) in the case of all other legislative employees, said employees may be excluded from a bargaining unit if said employees as managerial or confidential employees as defined in section 1.
	Appropriate bargaining units in the house may include all legislative employees; provided, however, that (1) in the case of legislative personal employees, legislative employees within the house speaker's office, the house minority leader's office, the office of the chair of the house ways and means committee, the house clerk's office, or house counsel's office may be managerial or confidential employees that are excluded from the bargaining unit if said employees are managerial or confidential employees as defined in section 1; and (2) in the case of all other legislative employees, said employees may be excluded from a bargaining unit if said employees as managerial or confidential employees as defined in section 1.
	SECTION 4. Section 23 of chapter 268A of the General Laws is hereby amended by striking out the word "";and (iv) establishing additional exclusions for other situations that do not present a genuine risk of a conflict or the appearance of a conflict of interest"" and inserting in place thereof the following words:-  ;(iv) establishing additional exclusions for other situations that do not present a genuine risk of conflict or the appearance of a conflict of interest; and (v) establishing specific exemptions, exclusions and procedures for curing particular perceptions of a conflict of interest as they may apply to exclusive representatives under chapter 150E.
",,[],[],[],[],"[['1', '150E'], ['23', '268A']]"
2358,An Act relative to the open meeting law,H3121,HD2204,193.0,"{'Id': 'E_U1', 'Name': 'Erika Uyterhoeven', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/E_U1', 'ResponseDate': '2023-01-19T11:22:33.383'}","[{'Id': 'E_U1', 'Name': 'Erika Uyterhoeven', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/E_U1', 'ResponseDate': '2023-01-19T11:22:33.3833333'}, {'Id': 'S_M1', 'Name': 'Samantha Montaño', 'Type': 1, 'Details': 'http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_M1', 'ResponseDate': '2023-07-10T19:56:17.2433333'}]",,http://malegislature.gov/api/GeneralCourts/193/Documents/H3121/DocumentHistoryActions,Bill,"By Representative Uyterhoeven of Somerville, a petition (accompanied by bill, House, No. 3121) of Erika Uyterhoeven for legislation to make the General Court subject to the open meeting law.  State Administration and Regulatory Oversight.","	SECTION 18 of chapter 30A of the General Laws, is hereby amended in the definition of ""Public Body"", by striking the phrase ""the general court or the committees or recess commissions thereof"".
